Betting Site, Date, Player Name, Score, Score Type
PrizePicks, Fri, Aug 25 7:00 PM, Caleb Williams, 3600.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Drake Maye, 3150.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Bo Nix, 2950.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Michael Penix Jr. , 3750.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Jordan Travis, 2750.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Sam Hartman, 2950.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Cade Klubnik, 3050.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Jayden Daniels, 2650.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, KJ Jefferson, 2600.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Quinn Ewers, 2850.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Joe Milton, 3250.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, J.J. McCarthy, 2600.5, Pass Yards
PrizePicks, Fri, Aug 25 7:00 PM, Blake Corum, 1050.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Quinshon Judkins, 1300.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Raheim Sanders, 1150.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Braelon Allen, 1050.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Will Shipley, 950.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Trey Benson, 950.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Frank Gore Jr., 1000.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Bucky Irving, 900.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, TreVeyon Henderson, 850.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Carson Steele, 850.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Nicholas Singleton, 900.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Sean Tyler, 899.5, Rush Yards
PrizePicks, Fri, Aug 25 7:00 PM, Marvin Harrison, 1000.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Rome Odunze, 950.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Jalen McMillan, 900.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Xavier Worthy, 825.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Emeka Egbuka, 950.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Jeremiah Hunter, 800.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Troy Franklin, 850.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Jacob Cowing, 950.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Malik Nabers, 900.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Johnny Wilson, 800.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Dorian Singer, 949.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Malachi Corley, 1049.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Brock Bowers, 700.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Mario Williams, 650.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, Oronde Gadsden, 850.5, Receiving Yards
PrizePicks, Fri, Aug 25 7:00 PM, J.J. McCarthy, 20.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Sam Hartman, 26.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Caleb Williams, 32.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Jordan Travis, 23.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Jayden Daniels, 18.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Bo Nix, 23.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Michael Penix Jr. , 30.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Quinn Ewers, 24.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Drake Maye, 26.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Cade Klubnik, 26.5, Pass TDs
PrizePicks, Fri, Aug 25 7:00 PM, Blake Corum, 12.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Quinshon Judkins, 13.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Will Shipley, 12.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Nicholas Singleton, 10.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Braelon Allen, 10.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, TreVeyon Henderson, 10.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Raheim Sanders, 9.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Trey Benson, 9.5, Rush TDs
PrizePicks, Fri, Aug 25 7:00 PM, Marvin Harrison, 11.5, Rec TDs
PrizePicks, Fri, Aug 25 7:00 PM, Emeka Egbuka, 8.5, Rec TDs
PrizePicks, Fri, Aug 25 7:00 PM, Brock Bowers, 7.5, Rec TDs
PrizePicks, Fri, Aug 25 7:00 PM, Malik Nabers, 6.5, Rec TDs
PrizePicks, Fri, Aug 25 7:00 PM, Johnny Wilson, 5.5, Rec TDs
