Underdog Fantasy, Justin Herbert, 30.5 Passing TDs 2.5 Rushing TDs 4365.5 Passing Yards 199.5 Rushing Yards
Underdog Fantasy, Joe Burrow, 33.5 Passing TDs 3.0 Rushing TDs 4425.5 Passing Yards 199.5 Rushing Yards
Underdog Fantasy, Jalen Hurts, 23.5 Passing TDs 11.5 Rushing TDs 3550.5 Passing Yards 725.5 Rushing Yards
Underdog Fantasy, Kirk Cousins, 29.5 Passing TDs 4350.5 Passing Yards
Underdog Fantasy, Aaron Rodgers, 1.5 Rushing TDs 28.5 Passing TDs 4000.5 Passing Yards 8.5 Interceptions
Underdog Fantasy, Russell Wilson, 2.5 Rushing TDs 24.5 Passing TDs 3800.5 Passing Yards 225.5 Rushing Yards
Underdog Fantasy, Mac Jones, 17.5 Passing TDs 0.5 Rushing TDs 3250.5 Passing Yards
Underdog Fantasy, Daniel Jones, 17.5 Passing TDs 3250.5 Passing Yards 575.5 Rushing Yards
Underdog Fantasy, Trevor Lawrence, 26.5 Passing TDs 3.0 Rushing TDs 3975.5 Passing Yards 285.5 Rushing Yards
Underdog Fantasy, Derek Carr, 23.5 Passing TDs 3865.5 Passing Yards
Underdog Fantasy, C.J. Stroud, 20.0 Passing TDs 3400.5 Passing Yards
Underdog Fantasy, Jared Goff, 25.5 Passing TDs 4000.5 Passing Yards
Underdog Fantasy, Jordan Love, 21.5 Passing TDs 3215.5 Passing Yards 13.5 Interceptions
Underdog Fantasy, Justin Fields, 6.5 Rushing TDs 20.0 Passing TDs 2950.5 Passing Yards 875.5 Rushing Yards
Underdog Fantasy, Deshaun Watson, 26.5 Passing TDs 3.0 Rushing TDs 399.5 Rushing Yards 3625.5 Passing Yards
Underdog Fantasy, Dak Prescott, 26.5 Passing TDs 4025.5 Passing Yards
Underdog Fantasy, Patrick Mahomes, 37.5 Passing TDs 4750.5 Passing Yards 299.5 Rushing Yards
Underdog Fantasy, Josh Allen, 7.0 Rushing TDs 32.5 Passing TDs 625.5 Rushing Yards 4300.5 Passing Yards
Underdog Fantasy, Anthony Richardson, 16.0 Passing TDs 2725.5 Passing Yards
Underdog Fantasy, Desmond Ridder, 15.5 Passing TDs 2600.5 Passing Yards
Underdog Fantasy, Bryce Young, 22.5 Passing TDs 3446.5 Passing Yards
Underdog Fantasy, Kenny Pickett, 19.5 Passing TDs 3350.5 Passing Yards
Underdog Fantasy, Lamar Jackson, 24.0 Passing TDs 825.5 Rushing Yards 3500.5 Passing Yards
Underdog Fantasy, Tua Tagovailoa, 25.5 Passing TDs 3800.5 Passing Yards
Underdog Fantasy, Geno Smith, 27.5 Passing TDs 3800.5 Passing Yards
Underdog Fantasy, Dameon Pierce, 5.5 Rushing TDs 900.5 Rushing Yards
Underdog Fantasy, David Montgomery, 6.5 Rushing TDs 775.5 Rushing Yards
Underdog Fantasy, Joe Mixon, 7.0 Rushing TDs 1.5 Receiving TDs 800.5 Rushing Yards
Underdog Fantasy, Miles Sanders, 0.5 Receiving TDs 6.0 Rushing TDs 925.5 Rushing Yards
Underdog Fantasy, Kenneth Walker, 0.5 Receiving TDs 7.5 Rushing TDs 1000.5 Rushing Yards
Underdog Fantasy, James Conner, 6.5 Rushing TDs 650.5 Rushing Yards
Underdog Fantasy, Josh Jacobs, 9.0 Rushing TDs 0.5 Receiving TDs 1075.5 Rushing Yards
Underdog Fantasy, Travis Etienne, 6.0 Rushing TDs 950.5 Rushing Yards
Underdog Fantasy, Bijan Robinson, 8.5 Rushing TDs 1075.5 Rushing Yards
Underdog Fantasy, Derrick Henry, 0.5 Receiving TDs 9.5 Rushing TDs 1225.5 Rushing Yards
Underdog Fantasy, Tony Pollard, 3.0 Receiving TDs 7.5 Rushing TDs 1025.5 Rushing Yards
Underdog Fantasy, D'Andre Swift, 4.5 Rushing TDs 567.5 Rushing Yards
Underdog Fantasy, Jonathan Taylor, 8.5 Rushing TDs 1200.5 Rushing Yards
Underdog Fantasy, Breece Hall, 6.0 Rushing TDs 850.5 Rushing Yards
Underdog Fantasy, Nick Chubb, 0.5 Receiving TDs 8.5 Rushing TDs 1200.5 Rushing Yards
Underdog Fantasy, Najee Harris, 2.5 Receiving TDs 6.5 Rushing TDs 925.5 Rushing Yards
Underdog Fantasy, Austin Ekeler, 8.5 Rushing TDs 4.5 Receiving TDs 775.5 Rushing Yards 575.5 Receiving Yards
Underdog Fantasy, Saquon Barkley, 7.5 Rushing TDs 975.5 Rushing Yards
Underdog Fantasy, Christian McCaffrey, 6.5 Rushing TDs 4.5 Receiving TDs 599.5 Receiving Yards 865.5 Rushing Yards
Underdog Fantasy, Isiah Pacheco, 5.5 Rushing TDs 815.5 Rushing Yards
Underdog Fantasy, Rhamondre Stevenson, 6.0 Rushing TDs 925.5 Rushing Yards
Underdog Fantasy, J.K. Dobbins, 6.5 Rushing TDs 875.5 Rushing Yards
Underdog Fantasy, Rachaad White, 4.5 Rushing TDs 780.5 Rushing Yards
Underdog Fantasy, James Cook, 3.5 Rushing TDs 600.5 Rushing Yards
Underdog Fantasy, Alexander Mattison, 7.5 Rushing TDs
Underdog Fantasy, Brian Robinson, 6.5 Rushing TDs 775.5 Rushing Yards
Underdog Fantasy, Cam Akers, 6.5 Rushing TDs 750.5 Rushing Yards
Underdog Fantasy, Khalil Herbert, 600.5 Rushing Yards
Underdog Fantasy, Rashaad Penny, 685.5 Rushing Yards
Underdog Fantasy, Damien Harris, 550.5 Rushing Yards
Underdog Fantasy, Jahmyr Gibbs, 580.5 Rushing Yards
Underdog Fantasy, Raheem Mostert, 525.5 Rushing Yards
Underdog Fantasy, AJ Dillon, 700.5 Rushing Yards
Underdog Fantasy, Jeff Wilson, 550.5 Rushing Yards
Underdog Fantasy, Samaje Perine, 600.5 Rushing Yards
Underdog Fantasy, Elijah Mitchell, 575.5 Rushing Yards
Underdog Fantasy, Aaron Jones, 875.5 Rushing Yards
Underdog Fantasy, Tyler Allgeier, 480.5 Rushing Yards
Underdog Fantasy, Amari Cooper, 6.5 Receiving TDs 875.5 Receiving Yards
Underdog Fantasy, Terry McLaurin, 4.0 Receiving TDs 950.5 Receiving Yards
Underdog Fantasy, Garrett Wilson, 7.5 Receiving TDs 1140.5 Receiving Yards
Underdog Fantasy, Justin Jefferson, 8.5 Receiving TDs 1395.5 Receiving Yards
Underdog Fantasy, Mike Evans, 6.0 Receiving TDs 950.5 Receiving Yards
Underdog Fantasy, Jaxon Smith-Njigba, 4.5 Receiving TDs 725.5 Receiving Yards
Underdog Fantasy, Dallas Goedert, 3.5 Receiving TDs 645.5 Receiving Yards
Underdog Fantasy, A.J. Brown, 7.5 Receiving TDs 1100.5 Receiving Yards
Underdog Fantasy, D'Onta Foreman, 460.5 Rushing Yards
Underdog Fantasy, Christian Kirk, 5.0 Receiving TDs 800.5 Receiving Yards
Underdog Fantasy, Evan Engram, 4.0 Receiving TDs 625.5 Receiving Yards
Underdog Fantasy, Amon-Ra St. Brown, 5.0 Receiving TDs 1010.5 Receiving Yards
Underdog Fantasy, Jahan Dotson, 4.0 Receiving TDs 800.5 Receiving Yards
Underdog Fantasy, Michael Pittman, 4.0 Receiving TDs 800.5 Receiving Yards
Underdog Fantasy, Calvin Ridley, 6.0 Receiving TDs 855.5 Receiving Yards
Underdog Fantasy, CeeDee Lamb, 7.0 Receiving TDs 1150.5 Receiving Yards
Underdog Fantasy, George Pickens, 4.5 Receiving TDs 775.5 Receiving Yards
Underdog Fantasy, Marquise Brown, 4.5 Receiving TDs 900.5 Receiving Yards
Underdog Fantasy, Courtland Sutton, 5.0 Receiving TDs 725.5 Receiving Yards
Underdog Fantasy, Jordan Addison, 4.5 Receiving TDs 825.5 Receiving Yards
Underdog Fantasy, DJ Moore, 5.0 Receiving TDs 875.5 Receiving Yards
Underdog Fantasy, Mark Andrews, 6.5 Receiving TDs 800.5 Receiving Yards
Underdog Fantasy, Ja'Marr Chase, 10.0 Receiving TDs 1300.5 Receiving Yards
Underdog Fantasy, Cooper Kupp, 9.0 Receiving TDs 1325.5 Receiving Yards
Underdog Fantasy, Treylon Burks, 4.5 Receiving TDs 825.5 Receiving Yards
Underdog Fantasy, Deebo Samuel, 4.5 Receiving TDs 825.5 Receiving Yards
Underdog Fantasy, Mike Williams, 5.5 Receiving TDs 875.5 Receiving Yards
Underdog Fantasy, Davante Adams, 8.0 Receiving TDs 1325.5 Receiving Yards
Underdog Fantasy, Kadarius Toney, 5.5 Receiving TDs 650.5 Receiving Yards
Underdog Fantasy, Darren Waller, 4.5 Receiving TDs 750.5 Receiving Yards
Underdog Fantasy, Stefon Diggs, 8.5 Receiving TDs 1200.5 Receiving Yards
Underdog Fantasy, Adam Thielen, 4.5 Receiving TDs 575.5 Receiving Yards
Underdog Fantasy, Odell Beckham, 4.5 Receiving TDs 575.5 Receiving Yards
Underdog Fantasy, JuJu Smith-Schuster, 4.5 Receiving TDs 725.5 Receiving Yards
Underdog Fantasy, Keenan Allen, 5.0 Receiving TDs 875.5 Receiving Yards
Underdog Fantasy, Allen Lazard, 4.5 Receiving TDs 600.5 Receiving Yards
Underdog Fantasy, Gabe Davis, 6.0 Receiving TDs 735.5 Receiving Yards
Underdog Fantasy, Brandon Aiyuk, 4.5 Receiving TDs 775.5 Receiving Yards
Underdog Fantasy, DK Metcalf, 7.0 Receiving TDs 950.5 Receiving Yards
Underdog Fantasy, Drake London, 4.5 Receiving TDs 850.5 Receiving Yards
Underdog Fantasy, Chris Olave, 5.0 Receiving TDs 1065.5 Receiving Yards
Underdog Fantasy, Jerry Jeudy, 5.0 Receiving TDs 900.5 Receiving Yards
Underdog Fantasy, Christian Watson, 5.5 Receiving TDs 850.5 Receiving Yards
Underdog Fantasy, Kyle Pitts, 4.0 Receiving TDs 775.5 Receiving Yards
Underdog Fantasy, David Njoku, 3.5 Receiving TDs 560.5 Receiving Yards
Underdog Fantasy, T.J. Hockenson, 5.5 Receiving TDs 800.5 Receiving Yards
Underdog Fantasy, Tyler Higbee, 4.5 Receiving TDs 499.5 Receiving Yards
Underdog Fantasy, Travis Kelce, 9.5 Receiving TDs 1125.5 Receiving Yards
Underdog Fantasy, Michael Gallup, 4.5 Receiving TDs 600.5 Receiving Yards
Underdog Fantasy, Tee Higgins, 6.0 Receiving TDs 1000.5 Receiving Yards
Underdog Fantasy, George Kittle, 5.0 Receiving TDs 700.5 Receiving Yards
Underdog Fantasy, Pat Freiermuth, 4.5 Receiving TDs 625.5 Receiving Yards
Underdog Fantasy, Tyler Lockett, 4.5 Receiving TDs 825.5 Receiving Yards
Underdog Fantasy, DeVonta Smith, 6.5 Receiving TDs 1000.5 Receiving Yards
Underdog Fantasy, Marquez Valdes-Scantling, 3.5 Receiving TDs 625.5 Receiving Yards
Underdog Fantasy, Tyler Boyd, 4.5 Receiving TDs 625.5 Receiving Yards
Underdog Fantasy, Dawson Knox, 4.5 Receiving TDs 425.5 Receiving Yards
Underdog Fantasy, Sam LaPorta, 3.5 Receiving TDs
Underdog Fantasy, Chris Godwin, 5.5 Receiving TDs 925.5 Receiving Yards
Underdog Fantasy, Diontae Johnson, 5.5 Receiving TDs 875.5 Receiving Yards
Underdog Fantasy, Jaylen Waddle, 7.5 Receiving TDs 1045.5 Receiving Yards
Underdog Fantasy, Van Jefferson, 4.0 Receiving TDs
Underdog Fantasy, Robert Woods, 599.5 Receiving Yards
Underdog Fantasy, Tyreek Hill, 7.5 Receiving TDs 1250.5 Receiving Yards
Underdog Fantasy, Tim Patrick, 540.5 Receiving Yards
Underdog Fantasy, DJ Chark, 700.5 Receiving Yards
Underdog Fantasy, Romeo Doubs, 575.5 Receiving Yards
Underdog Fantasy, Elijah Moore, 515.5 Receiving Yards
Underdog Fantasy, Skyy Moore, 550.5 Receiving Yards
Underdog Fantasy, Alec Pierce, 550.5 Receiving Yards
Underdog Fantasy, Nico Collins, 632.5 Receiving Yards
Underdog Fantasy, Donovan Peoples-Jones, 500.5 Receiving Yards
Underdog Fantasy, Chase Claypool, 550.5 Receiving Yards
Underdog Fantasy, Zay Flowers, 599.5 Receiving Yards
Underdog Fantasy, Russell Gage, 475.5 Receiving Yards
Underdog Fantasy, Quentin Johnston, 599.5 Receiving Yards
Underdog Fantasy, Rashod Bateman, 600.5 Receiving Yards
Underdog Fantasy, Isaiah Hodgins, 425.5 Receiving Yards
Underdog Fantasy, Marvin Jones, 475.5 Receiving Yards
Underdog Fantasy, Dalton Schultz, 500.5 Receiving Yards
Underdog Fantasy, Brandin Cooks, 775.5 Receiving Yards
